checked_at_jst,jan,product_name,supplier,url,http_status,fetch_ok,parser_hint,parsed_price_yen,expected_price_yen,effective_price_yen,enoking_buy_price_yen,gross_profit_yen,in_stock,shipping_included,condition_required,is_buy_candidate,decision_reason,raw_signals,notes
2026-06-11 14:11:08 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Sofmap Search Discovery,https://www.sofmap.com/search_result.aspx?keyword=4902370552683,200,True,search_discovery,,,,76500,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,在庫あり|JavaScript,中古混在注意。新品未開封のみ手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,Geo Online Search Discovery,https://ec.geo-online.co.jp/shop/goods/search.aspx?keyword=4902370552683,403,True,search_discovery,,,,76500,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,中古混在注意。新品未開封のみ手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-11 14:11:08 JST,4902370552683,Nintendo Switch 2 多言語版 BEE-S-KB6AA,7net Search Discovery,https://7net.omni7.jp/search/?keyword=4902370552683,404,True,search_discovery,,,,76500,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,販売終了|JavaScript,発見用。価格・在庫は手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Yodobashi,https://www.yodobashi.com/product/100000001006501447/,403,True,yodobashi,,37980,37980,45300,7320,,True,new,False,NO_POSITIVE_STOCK_SIGNAL,,旧価格37
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Nojima Online,https://online.nojima.co.jp/commodity/1/4902370548501/,403,True,nojima,54850,37980,54850,45300,-9550,,True,new,False,NO_POSITIVE_STOCK_SIGNAL,,購入条件あり/完売御礼の変化を監視
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,TSUTAYA Store Stock,https://store-tsutaya.tsite.jp/search/result/stock?itemType=game&productKey=4902370548501&saleType=sell&workId=30040491,200,True,tsutaya,,,,45300,,,True,new,False,NO_PRICE,このページではjavascriptを使用しています|javascriptを使用しています,店舗在庫検索。JS/地域入力が必要なためブラウザ化候補; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Yahoo digitalisland,https://store.shopping.yahoo.co.jp/digitalisland/4902370548501.html,200,True,yahoo,,46498,46498,45300,-1198,,True,new,False,NO_POSITIVE_STOCK_SIGNAL,カートに入れる|JavaScript,在庫なし/高値寄りの変化を監視; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,AEON Style Online,https://aeonretail.com/product/0/P-4902370548501/,403,True,aeon,,37928,37928,45300,7372,,True,new,False,NO_POSITIVE_STOCK_SIGNAL,JavaScript,お一人さま1点限り/購入可否を監視; NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Rakuten Search Discovery,https://search.rakuten.co.jp/search/mall/4902370548501/,200,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,売り切れ,発見用。価格抽出は買い判定に使わない。楽天APIアダプタ実装後にAPI優先へ移行; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Yahoo Shopping Search Discovery,https://shopping.yahoo.co.jp/search?p=4902370548501,200,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,在庫なし|在庫あり|JavaScript,発見用。価格抽出は買い判定に使わない。Yahoo公式APIアダプタ実装後にAPI優先へ移行; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Amazon JP Search Discovery,https://www.amazon.co.jp/s?k=4902370548501,503,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,発見用。PA-APIが本命。通常ページ取得は低頻度のみ; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,BicCamera Search Discovery,https://www.biccamera.com/bc/category/?q=4902370548501,,False,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,"量販店横断の発見用。価格・在庫は手動確認または専用パーサー化; FETCH_ERROR: ReadTimeout: HTTPSConnectionPool(host='www.biccamera.com', port=443): Read timed out. (read timeout=15)"
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Yamada Webcom Search Discovery,https://www.yamada-denkiweb.com/search/4902370548501,,False,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,"量販店横断の発見用。価格・在庫は手動確認または専用パーサー化; FETCH_ERROR: ReadTimeout: HTTPSConnectionPool(host='www.yamada-denkiweb.com', port=443): Read timed out. (read timeout=15)"
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Joshin Web Search Discovery,https://joshinweb.jp/search/?searchword=4902370548501,,False,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,"量販店横断の発見用。サーバー負荷を避けるため1日1回程度; FETCH_ERROR: ReadTimeout: HTTPSConnectionPool(host='joshinweb.jp', port=443): Read timed out. (read timeout=15)"
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Edion Search Discovery,https://www.edion.com/search?keyword=4902370548501,200,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,量販店横断の発見用。サーバー負荷を避けるため1日1回程度; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Sofmap Search Discovery,https://www.sofmap.com/search_result.aspx?keyword=4902370548501,200,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,在庫あり|JavaScript,中古混在注意。新品未開封のみ手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,Geo Online Search Discovery,https://ec.geo-online.co.jp/shop/goods/search.aspx?keyword=4902370548501,403,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,,中古混在注意。新品未開封のみ手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION
2026-06-11 14:11:08 JST,4902370548501,Nintendo Switch 有機ELモデル ネオン,7net Search Discovery,https://7net.omni7.jp/search/?keyword=4902370548501,200,True,search_discovery,,,,45300,,,True,new,False,DISCOVERY_ONLY_NO_BUY_DECISION,在庫なし|販売終了|品切れ|JavaScript,発見用。価格・在庫は手動確認; DISCOVERY_ONLY_SEARCH_PAGE|NO_BUY_DECISION|NEEDS_BROWSER_OR_MANUAL_CHECK
